# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 27 19:38:23 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHKLMN</i> (cf. Bessell 1990 + Bessell & Brett 1988)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  UXmag   BXmag   Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag    Lmag    L'mag   Mmag
0.01471 0.00000 6.47712 0.1986884326 1.6894105673    0.199 -1.179  3.4636  3.721    0  0.000  0.545     0.00     0.00 -1  -2.6e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.716 13.314 12.190 12.216 10.863 9.502 7.652 5.763 5.164 4.837 4.523 4.343 4.367
0.01471 0.00000 6.47712 0.2118801773 1.7326941490    0.212 -1.140  3.4683  3.729    0  0.000  0.545     0.00     0.00 -1 -2.73e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.620 13.116 11.994 12.021 10.676 9.341 7.517 5.675 5.069 4.751 4.448 4.270 4.296
0.01471 0.00000 6.47712 0.2266443521 1.7771635056    0.227 -1.101  3.4729  3.738    0  0.000  0.545     0.00     0.00 -1 -2.86e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.523 12.927 11.805 11.832 10.492 9.182 7.386 5.586 4.974 4.664 4.372 4.196 4.224
0.01471 0.00000 6.47712 0.2416691184 1.8187097311    0.242 -1.069  3.4767  3.749    0  0.000  0.545     0.00     0.00 -1 -2.94e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.443 12.776 11.652 11.679 10.342 9.052 7.278 5.514 4.896 4.593 4.309 4.136 4.165
0.01471 0.00000 6.47712 0.2646735013 1.8762111664    0.265 -1.020  3.4832  3.766    0  0.000  0.545     0.00     0.00 -1 -3.09e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.321 12.542 11.410 11.438 10.100 8.841 7.111 5.406 4.778 4.485 4.214 4.046 4.075
0.01471 0.00000 6.47712 0.2867129743 1.9255119562    0.287 -0.973  3.4894  3.778    0  0.000  0.545     0.00     0.00 -1 -3.26e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.203 12.328 11.185 11.213 9.870 8.637 6.954 5.303 4.664 4.380 4.121 3.959 3.987
0.01471 0.00000 6.47712 0.3000000119 1.9529139996    0.300 -0.948  3.4927  3.786    0  0.000  0.545     0.00     0.00 -1 -3.35e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.140 12.217 11.068 11.096 9.756 8.538 6.873 5.248 4.602 4.323 4.071 3.912 3.943
0.01471 0.00000 6.47712 0.3174031973 1.9865078926    0.317 -0.914  3.4973  3.795    0  0.000  0.545     0.00     0.00 -1 -3.48e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.055 12.063 10.906 10.935 9.601 8.404 6.763 5.173 4.518 4.245 4.004 3.849 3.883
0.01471 0.00000 6.47712 0.3500000238 2.0434176922    0.350 -0.856  3.5051  3.811    0  0.000  0.545     0.00     0.00 -1 -3.72e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.910 11.809 10.636 10.664 9.340 8.179 6.578 5.047 4.376 4.114 3.890 3.742 3.785
0.01471 0.00000 6.47712 0.3858726323 2.0985786915    0.386 -0.794  3.5141  3.827    0  0.000  0.545     0.00     0.00 -1 -4.02e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.754 11.536 10.339 10.369 9.051 7.930 6.379 4.914 4.224 3.973 3.768 3.629 3.682
